episode,reward
1,109.14000009298323
2,108.96000012159348
3,108.93000007867812
4,109.1700001001358
5,109.43999998569487
6,109.08000007867811
7,109.02000006437301
8,108.81000012159349
9,109.28999998569489
10,109.08000011444092
11,109.32000002861021
12,109.3200001001358
13,109.16999995708466
14,108.9600000143051
15,109.05000007152557
16,109.17000006437301
17,109.20000003576278
18,109.11000015735624
19,109.11000001430511
20,108.69000005722046
21,109.0500000715256
22,108.99000002145769
23,109.26000001430509
24,108.75000010728836
25,109.19999999999999
26,109.01999999284745
27,109.05000003576276
28,109.17000002861022
29,109.11000012159349
30,109.11000008583069
31,108.78000011444091
32,109.38000000715253
33,109.35000007152556
34,109.29000009298323
35,109.38000004291531
36,109.08000007867813
37,109.08000007867813
38,109.11000008583069
39,109.08000007867811
40,109.02000002861021
41,109.17000006437301
42,109.1399999856949
43,109.02000006437304
44,109.0800001144409
45,109.02000006437298
46,108.93000007867813
47,109.11000008583069
48,109.20000010728835
49,109.10999997854233
50,109.02000002861024
51,108.89999999999999
52,109.23000011444091
53,109.1700001001358
54,108.84000012874603
55,109.20000014305113
56,109.08000004291536
57,108.75000007152558
58,108.78000004291535
59,109.08000004291532
60,108.96000008583067
61,109.14000005722046
62,109.0800000786781
63,109.02000006437301
64,108.78000007867814
65,109.34999999999998
66,109.56000001430509
67,109.23000004291531
68,109.16999999284745
69,108.96000008583069
70,108.93000004291534
71,108.99000002145769
72,109.20000007152552
73,109.17000002861023
74,109.29000012874603
75,108.93000004291534
76,108.81000005006791
77,108.99000009298325
78,108.93000007867812
79,108.75000014305112
80,108.78000004291538
81,109.47000006437301
82,109.11000008583069
83,109.1700001001358
84,109.17000002861023
85,109.20000007152555
86,109.11000008583068
87,109.11000015735624
88,109.05000010728834
89,107.55000013113019
90,109.44000002145765
91,109.29000005722042
92,109.17000002861023
93,109.05000007152557
94,108.93000000715254
95,109.26000005006787
96,109.08000007867813
97,109.23000004291531
98,108.99000009298324
99,108.93000007867813
100,109.11000001430509
101,108.93000007867815
102,109.01999999284743
103,107.49000003337858
104,109.23000000715255
105,109.17000002861025
106,108.93000000715257
107,109.01999999284742
108,109.49999996423722
109,108.990000128746
110,109.16999999284742
111,109.38000004291533
112,109.20000003576278
113,109.38000000715255
114,108.96000001430514
115,109.17000002861022
116,107.42000001668929
117,109.14000009298323
118,109.1700001001358
119,109.22999997138974
120,108.66000012159347
121,109.11000001430511
122,108.96000008583069
123,108.96000008583067
