agent,old_mean,old_std,tuned_mean,tuned_std
NPG,66.293414,5.706200,,
PPO,102.295000,3.451641,,
QAC,70.740483,14.905517,,
QPPG,70.273876,16.767085,,
TRPO,109.165000,0.589241,,
