xi,seed,final_avg_reward
0.001,20000,28.80845590996742
0.001,20127,29.294294121026986
0.01,20000,27.376206815719602
0.01,20127,27.540114215850828
0.1,20000,27.776220942497247
0.1,20127,29.08290626096725
0.5,20000,32.865413662075994
0.5,20127,34.296034562230105
1.0,20000,34.35469933342934
1.0,20127,32.47780802619457
