episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
41,2.4,0.735029473900795,0.5,0.2,0.3,0.25
42,3.1,0.6692952424287796,0.85,0.1,0.05,0.19999999999999996
43,2.8,0.7305979266762733,0.65,0.05,0.3,0.15000000000000002
44,3.3,0.747824726998806,0.75,0.0,0.25,0.050000000000000044
45,3.2,0.7340729475021363,0.65,0.05,0.3,0.050000000000000044
46,3.6,0.8044919788837432,0.85,0.05,0.1,0.050000000000000044
47,3.0,0.733521893620491,0.75,0.15,0.1,0.19999999999999996
48,3.3,0.7338410839438438,0.8,0.05,0.15,0.09999999999999998
49,3.6,0.8506719678640365,0.8,0.0,0.2,0.0
50,3.3,0.8511403530836106,0.7,0.05,0.25,0.050000000000000044
51,3.2,0.793334798514843,0.8,0.1,0.1,0.15000000000000002
52,3.0,0.7321649268269539,0.6,0.0,0.4,0.050000000000000044
53,2.9,0.7397164300084114,0.75,0.2,0.05,0.25
54,3.5,0.8347579881548881,0.85,0.0,0.15,0.050000000000000044
55,2.7,0.799990537762642,0.6,0.15,0.25,0.19999999999999996
56,3.7,0.8318095684051514,0.85,0.0,0.15,0.0
57,3.3,0.8183018326759338,0.7,0.05,0.25,0.050000000000000044
58,3.0,0.791169935464859,0.65,0.15,0.2,0.15000000000000002
59,3.1,0.760122662782669,0.65,0.1,0.25,0.09999999999999998
60,3.3,0.7566523551940918,0.85,0.0,0.15,0.09999999999999998
61,3.4,0.7518047794699669,0.9,0.0,0.1,0.09999999999999998
62,3.2,0.8626754835247994,0.65,0.05,0.3,0.050000000000000044
63,3.5,0.7970761403441429,0.8,0.05,0.15,0.050000000000000044
64,3.2,0.7468104094266892,0.85,0.05,0.1,0.15000000000000002
65,3.2,0.6675607666373253,0.85,0.05,0.1,0.15000000000000002
66,3.1,0.6792091950774193,0.75,0.0,0.25,0.09999999999999998
67,3.4,0.718940968811512,0.85,0.05,0.1,0.09999999999999998
68,3.6,0.8442417621612549,0.8,0.0,0.2,0.0
69,2.9,0.6698852181434631,0.75,0.0,0.25,0.15000000000000002
70,3.4,0.7829657047986984,0.8,0.0,0.2,0.050000000000000044
71,3.1,0.7633357107639313,0.75,0.0,0.25,0.09999999999999998
72,3.0,0.610657899081707,0.8,0.0,0.2,0.15000000000000002
73,3.8,0.6858105391263962,1.0,0.0,0.0,0.050000000000000044
74,3.5,0.74621801674366,0.85,0.0,0.15,0.050000000000000044
75,3.6,0.796736766397953,0.8,0.0,0.2,0.0
76,3.4,0.7100867077708244,0.85,0.05,0.1,0.09999999999999998
77,3.2,0.6487288415431977,1.0,0.0,0.0,0.19999999999999996
78,3.2,0.6400681406259536,1.0,0.0,0.0,0.19999999999999996
79,3.6,0.7106753155589104,0.9,0.0,0.1,0.050000000000000044
80,3.3,0.7090471848845482,0.95,0.0,0.05,0.15000000000000002
81,3.2,0.712234192341566,0.9,0.0,0.1,0.15000000000000002
82,3.3,0.6379249423742295,0.85,0.0,0.15,0.09999999999999998
83,2.9,0.6323981732130051,0.85,0.0,0.15,0.19999999999999996
84,3.9,0.812381173670292,0.95,0.0,0.05,0.0
85,3.2,0.5678148165345192,1.0,0.0,0.0,0.19999999999999996
86,4.0,0.7411404490470886,1.0,0.0,0.0,0.0
87,3.2,0.7426406964659691,0.95,0.05,0.0,0.19999999999999996
88,3.4,0.7260778158903122,0.95,0.05,0.0,0.15000000000000002
89,3.6,0.7840170100331306,1.0,0.0,0.0,0.09999999999999998
90,3.6,0.7047219887375832,1.0,0.0,0.0,0.09999999999999998
91,3.8,0.7349235266447067,1.0,0.0,0.0,0.050000000000000044
92,3.4,0.7143448501825332,1.0,0.0,0.0,0.15000000000000002
93,3.3,0.7265327967703342,0.95,0.0,0.05,0.15000000000000002
94,3.0,0.6118019863963127,1.0,0.0,0.0,0.25
95,2.8,0.6598480314016342,1.0,0.0,0.0,0.30000000000000004
96,3.0,0.6887908145785332,1.0,0.0,0.0,0.25
97,3.2,0.6779314458370209,1.0,0.0,0.0,0.19999999999999996
98,3.2,0.6517961204051972,1.0,0.0,0.0,0.19999999999999996
99,3.8,0.7159078516066074,1.0,0.0,0.0,0.050000000000000044
100,3.6,0.7038695082068444,1.0,0.0,0.0,0.09999999999999998
101,3.4,0.6549889698624611,1.0,0.0,0.0,0.15000000000000002
102,3.4,0.6318974763154983,1.0,0.0,0.0,0.15000000000000002
103,3.4,0.7266709014773369,1.0,0.0,0.0,0.15000000000000002
104,3.6,0.7071198351681233,1.0,0.0,0.0,0.09999999999999998
105,3.2,0.6278569355607033,1.0,0.0,0.0,0.19999999999999996
106,3.2,0.7020434021949769,1.0,0.0,0.0,0.19999999999999996
107,3.4,0.693448755145073,1.0,0.0,0.0,0.15000000000000002
108,3.6,0.6861991293728351,1.0,0.0,0.0,0.09999999999999998
109,2.8,0.6087184101343155,1.0,0.0,0.0,0.30000000000000004
110,4.0,0.808623069524765,1.0,0.0,0.0,0.0
111,4.0,0.7622310608625412,1.0,0.0,0.0,0.0
112,3.8,0.7741507157683373,1.0,0.0,0.0,0.050000000000000044
113,3.8,0.7701459780335427,1.0,0.0,0.0,0.050000000000000044
114,3.6,0.7071670278906822,1.0,0.0,0.0,0.09999999999999998
115,3.8,0.744116285443306,1.0,0.0,0.0,0.050000000000000044
116,4.0,0.7769917249679565,1.0,0.0,0.0,0.0
117,3.8,0.8002839386463165,1.0,0.0,0.0,0.050000000000000044
118,4.0,0.7841480612754822,1.0,0.0,0.0,0.0
119,3.6,0.7887466311454773,1.0,0.0,0.0,0.09999999999999998
120,3.8,0.7352331951260567,1.0,0.0,0.0,0.050000000000000044
121,3.8,0.7443622395396232,1.0,0.0,0.0,0.050000000000000044
122,3.8,0.8519322052598,1.0,0.0,0.0,0.050000000000000044
123,3.8,0.7870281532406807,1.0,0.0,0.0,0.050000000000000044
124,3.6,0.722923893481493,1.0,0.0,0.0,0.09999999999999998
125,3.8,0.7991933777928353,1.0,0.0,0.0,0.050000000000000044
126,3.6,0.7649328425526619,1.0,0.0,0.0,0.09999999999999998
127,3.4,0.5874205008149147,1.0,0.0,0.0,0.15000000000000002
128,4.0,0.8048595011234283,1.0,0.0,0.0,0.0
129,3.8,0.6890558958053589,1.0,0.0,0.0,0.050000000000000044
130,3.8,0.8702780082821846,1.0,0.0,0.0,0.050000000000000044
131,3.8,0.7985069438815117,1.0,0.0,0.0,0.050000000000000044
132,3.8,0.8079375088214874,1.0,0.0,0.0,0.050000000000000044
133,4.0,0.7804242640733718,1.0,0.0,0.0,0.0
134,4.0,0.7964236855506897,1.0,0.0,0.0,0.0
135,4.0,0.817094600200653,1.0,0.0,0.0,0.0
136,3.4,0.7076849982142448,1.0,0.0,0.0,0.15000000000000002
137,3.8,0.7517301186919212,1.0,0.0,0.0,0.050000000000000044
138,3.6,0.6921881765127182,1.0,0.0,0.0,0.09999999999999998
139,4.0,0.8114361763000488,1.0,0.0,0.0,0.0
140,3.8,0.8442921221256257,1.0,0.0,0.0,0.050000000000000044
141,3.6,0.7962970107793808,1.0,0.0,0.0,0.09999999999999998
142,3.6,0.7450819194316864,1.0,0.0,0.0,0.09999999999999998
143,3.8,0.7037243783473969,1.0,0.0,0.0,0.050000000000000044
144,3.8,0.7762420266866684,1.0,0.0,0.0,0.050000000000000044
145,4.0,0.832063826918602,1.0,0.0,0.0,0.0
146,3.4,0.7183854281902313,1.0,0.0,0.0,0.15000000000000002
147,3.8,0.8039992913603783,1.0,0.0,0.0,0.050000000000000044
