episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
1,2.2,0.47145031541585924,0.4,0.3,0.3,0.30000000000000004
2,2.4,0.5402180925011635,0.4,0.2,0.4,0.19999999999999996
3,2.1,0.479540953040123,0.35,0.45,0.2,0.4
4,2.2,0.4826744467020035,0.45,0.35,0.2,0.35
5,1.7,0.48559882789850234,0.2,0.35,0.45,0.35
6,2.5,0.5098794430494309,0.55,0.2,0.25,0.25
7,2.7,0.5341324612498284,0.5,0.15,0.35,0.15000000000000002
8,2.4,0.4245752185583115,0.65,0.25,0.1,0.35
9,2.6,0.506135918945074,0.6,0.2,0.2,0.25
10,2.7,0.5306713148951531,0.5,0.15,0.35,0.19999999999999996
11,3.0,0.49012536704540255,0.8,0.15,0.05,0.25
12,3.3,0.5647816643118858,0.75,0.0,0.25,0.050000000000000044
13,2.4,0.501156610250473,0.55,0.35,0.1,0.35
14,3.0,0.5390522293746471,0.7,0.1,0.2,0.15000000000000002
15,3.1,0.577268423140049,0.7,0.15,0.15,0.15000000000000002
16,2.6,0.44195574447512626,0.7,0.1,0.2,0.25
17,2.6,0.47953939735889434,0.5,0.25,0.25,0.25
18,3.0,0.47952590733766554,0.7,0.2,0.1,0.19999999999999996
19,2.9,0.5125310525298119,0.6,0.15,0.25,0.15000000000000002
20,3.0,0.44176662117242815,0.7,0.1,0.2,0.15000000000000002
21,2.8,0.45903983265161513,0.6,0.05,0.35,0.15000000000000002
22,2.5,0.4626547142863274,0.75,0.2,0.05,0.35
23,3.1,0.3693837903439999,0.85,0.0,0.15,0.15000000000000002
24,2.6,0.3893501408398151,0.75,0.1,0.15,0.30000000000000004
25,3.5,0.4334326274693012,0.8,0.05,0.15,0.050000000000000044
26,3.2,0.4835043229162693,0.8,0.0,0.2,0.09999999999999998
27,2.9,0.43728058561682703,0.7,0.15,0.15,0.19999999999999996
28,3.2,0.43126328736543657,0.75,0.05,0.2,0.09999999999999998
29,3.1,0.44298805221915244,0.8,0.15,0.05,0.19999999999999996
30,3.7,0.5112363398075104,0.95,0.0,0.05,0.050000000000000044
31,2.9,0.4272747620940208,0.75,0.1,0.15,0.19999999999999996
32,2.9,0.39664534777402877,0.7,0.05,0.25,0.15000000000000002
33,3.3,0.46600734144449235,0.85,0.1,0.05,0.15000000000000002
34,3.1,0.4438957557082176,0.8,0.1,0.1,0.19999999999999996
35,2.3,0.3968090407550335,0.7,0.15,0.15,0.35
36,2.9,0.4961142972111702,0.6,0.15,0.25,0.15000000000000002
37,2.8,0.45571051463484763,0.75,0.1,0.15,0.25
38,2.9,0.47865310311317444,0.7,0.05,0.25,0.15000000000000002
39,3.2,0.495756246894598,0.8,0.05,0.15,0.15000000000000002
40,3.3,0.4131245732307434,0.85,0.05,0.1,0.15000000000000002
41,2.7,0.35813999772071836,0.9,0.05,0.05,0.30000000000000004
42,3.5,0.41455778256058695,0.75,0.0,0.25,0.0
43,3.5,0.4436409056186676,0.85,0.0,0.15,0.050000000000000044
44,2.6,0.4254068911075592,0.85,0.05,0.1,0.30000000000000004
45,2.5,0.3368379421532154,0.85,0.05,0.1,0.35
