episode,reward
1,109.52999993562699
2,109.58999998569487
3,109.46999995708464
4,109.2899999856949
5,109.49999992847441
6,109.79999989271165
7,109.29000005722044
8,109.29000002145766
9,109.38000004291533
10,109.40999997854232
11,109.31999999284743
12,109.31999999284743
13,109.94999985694886
14,109.31999995708465
15,109.70999983549116
16,109.29000002145766
17,109.22999997138977
18,109.79999989271163
19,109.29000005722045
20,109.29000002145764
21,109.4399999856949
22,109.4100000143051
23,109.5299998998642
24,109.320000064373
25,109.11000012159346
26,109.46999999284743
27,109.70999994277952
28,109.4999999642372
29,109.61999995708464
30,109.67999989986417
31,109.67999989986421
32,109.46999992132187
33,109.58999987840654
34,109.58999998569486
35,109.38000000715256
36,109.5899999499321
37,109.31999992132188
38,109.6499999642372
39,109.37999997138976
40,109.61999992132185
41,109.31999999284743
42,109.34999989271164
43,109.46999992132187
44,109.46999992132189
45,109.58999998569489
46,109.38000007867814
47,109.49999999999997
48,109.2600000143051
49,109.6799998998642
50,109.43999998569488
51,109.46999995708467
52,109.61999995708464
53,109.52999993562698
54,109.49999999999999
55,109.25999997854235
56,109.02000002861026
57,109.67999989986421
58,109.37999997138975
59,109.40999994277955
60,109.40999997854229
61,109.01999995708465
62,109.52999989986421
63,107.84999990463255
64,109.52999997138976
65,109.37999997138976
66,109.6499999642372
67,109.52999993562699
68,109.97999982833863
69,109.5899999856949
70,109.79999985694886
71,109.6499999284744
72,109.85999983549118
73,109.4699999928474
74,109.3799999713898
75,109.170000064373
76,109.76999995708466
77,109.46999999284743
78,109.34999996423723
79,109.58999994993206
80,109.73999987840652
81,109.40999994277954
82,109.41000001430511
83,109.22999997138977
84,109.31999999284746
85,109.67999993562697
86,109.5599999785423
87,109.67999986410138
88,109.67999993562698
89,109.38000000715253
90,109.52999997138976
91,109.46999999284745
92,109.5000000357628
93,109.25999994277954
94,109.61999988555908
95,109.41000005006788
96,109.19999996423721
97,109.08000000715255
98,109.53000000715255
99,109.44000002145766
100,109.52999989986418
101,109.53000000715255
102,109.29000002145764
103,109.07999997138977
104,109.79999989271163
105,109.46999992132184
106,109.10999997854233
107,109.58999991416928
108,109.67999997138976
109,109.4100000143051
110,109.4399999499321
111,109.5899999856949
112,109.37999997138978
113,109.70999987125394
114,109.37999993562701
115,109.40999994277955
116,109.16999999284745
117,109.5
118,109.37999997138976
119,109.31999999284744
120,109.7999999284744
121,109.61999988555907
122,109.529999935627
123,109.28999998569486
124,109.4399999856949
125,109.31999999284744
126,109.79999985694886
127,109.58999998569489
128,109.4099999785423
129,109.19999996423722
130,109.55999997854232
131,109.52999993562696
132,109.40999994277955
133,109.67999993562695
134,109.34999996423721
135,109.529999935627
136,109.55999997854232
137,107.6599999666214
138,109.4399999141693
139,109.52999989986418
140,109.320000064373
141,109.49999992847444
142,109.40999994277954
143,109.58999994993208
144,109.34999999999998
145,109.44000002145765
146,109.40999994277952
147,109.40999990701678
148,109.43999998569485
149,109.40999997854232
150,109.76999988555905
151,109.61999988555908
152,109.8299998641014
153,109.52999997138976
154,109.11000005006788
155,109.58999991416931
156,109.46999988555906
157,109.28999998569488
158,109.49999989271166
159,109.10999990701674
160,109.49999992847442
161,109.61999992132189
162,109.55999990701676
163,109.29000002145764
164,109.55999990701676
165,109.49999999999999
166,109.3499999284744
167,109.23000004291535
168,109.40999994277955
169,109.70999994277953
170,109.25999994277954
171,109.52999993562698
172,109.44000002145766
173,109.67999997138975
174,109.64999992847443
175,109.26000001430509
176,109.31999999284743
177,109.28999994993208
178,109.49999996423722
179,109.70999990701678
180,109.38000000715253
181,109.37999993562698
182,109.67999997138978
183,109.46999992132186
184,109.34999992847445
185,109.05000000000001
186,110.00999979972838
187,109.46999995708464
188,109.73999987840651
189,105.87999996542928
190,109.52999997138976
191,109.23000004291532
192,109.58999998569487
193,109.44000005722043
194,109.47000002861024
195,109.5899998784065
196,109.61999999284744
197,109.31999992132185
198,109.8299998641014
199,109.53000000715255
200,107.99999985694885
201,109.40999997854233
202,109.46999995708465
203,109.46999992132183
204,109.76999992132187
205,109.25999997854233
206,109.2899999856949
207,109.13999998569487
208,109.40999994277954
209,109.29000005722045
210,109.3499999642372
211,109.67999993562697
212,109.5299998998642
213,109.67999997138976
214,109.7399999499321
215,109.52999993562699
216,109.38000000715253
217,109.28999998569489
218,109.49999996423718
219,109.67999993562698
220,109.31999988555908
221,109.52999997138976
222,109.65000000000002
223,109.43999991416932
224,109.52999997138976
225,109.22999993562696
226,109.46999999284742
227,109.14000002145765
228,109.46999999284743
229,109.70999990701675
230,109.61999992132185
231,109.76999995708464
232,109.40999994277958
233,109.2600000500679
234,109.47000002861023
235,109.52999993562698
236,109.38000004291536
237,109.44000002145768
238,109.5600000143051
239,109.64999992847441
240,109.29000002145767
241,109.61999992132188
242,109.41000001430511
243,109.2600000143051
244,109.58999987840652
245,107.96999993324279
246,109.79999989271164
247,109.17000006437301
248,109.3499999642372
249,109.67999997138976
250,109.41000001430508
251,109.49999996423722
252,109.43999991416929
253,109.44000002145766
254,109.58999998569486
255,109.49999989271161
256,109.34999996423718
257,109.61999995708464
258,109.52999993562698
259,109.46999999284743
260,109.64999992847441
261,109.43999998569487
262,109.37999997138978
263,109.61999992132185
264,109.19999992847441
265,109.23000000715254
266,109.2899999499321
267,109.35000003576278
268,109.64999999999999
269,109.19999996423724
270,109.11000005006787
271,109.37999997138976
272,109.49999989271161
273,107.88000007867811
274,109.70999994277953
275,109.37999993562694
276,109.64999999999999
277,109.22999997138977
278,109.70999994277953
279,109.7999999284744
280,109.40999997854232
281,108.99000002145766
282,109.6799998998642
283,109.64999996423721
284,109.47000002861023
285,109.43999994993212
286,109.14000002145768
287,109.43999998569488
288,109.52999989986418
289,109.40999994277954
290,109.05
291,109.19999996423721
292,109.46999995708465
293,109.58999998569486
294,109.46999999284742
295,109.34999999999998
296,109.4399999499321
297,109.43999991416929
298,109.76999995708464
299,109.52999989986417
300,109.58999998569487
301,109.70999994277952
302,109.46999995708467
303,109.49999999999997
304,109.52999989986421
305,109.3499999284744
306,109.31999999284743
307,109.28999998569488
308,109.5899999141693
309,109.40999997854232
310,109.37999997138975
311,110.03999991416931
312,109.3499999642372
313,109.67999986410139
314,109.70999994277955
315,109.26000005006789
316,109.43999991416929
317,109.58999994993208
318,109.52999997138977
319,109.55999990701675
320,109.64999992847441
321,109.58999998569489
322,109.52999997138976
323,109.61999995708466
324,109.47000002861024
325,109.46999995708465
326,109.58999998569485
327,109.46999992132187
328,109.43999998569488
329,109.31999995708465
330,109.40999997854233
331,109.73999987840652
332,109.67999997138978
333,109.40999990701674
334,109.97999989986423
335,109.67999982833858
336,109.46999995708465
337,109.40999994277954
338,109.79999996423719
339,109.52999993562699
340,109.40999994277955
341,109.50000000000001
342,109.70999994277953
343,109.43999994993209
344,109.55999994277954
345,109.58999994993206
346,109.64999992847443
347,109.61999995708467
348,109.13999998569489
349,109.35000007152557
350,109.50000003576278
351,109.28999998569488
352,109.67999997138978
353,109.61999999284743
354,109.55999994277953
355,109.529999935627
356,107.84999999999997
357,109.31999995708468
358,109.79999992847443
359,109.52999993562696
360,109.49999996423718
361,109.40999997854233
362,109.46999988555906
363,109.43999991416929
364,109.55999994277953
365,109.70999994277955
366,109.76999995708465
367,109.46999999284743
368,109.31999992132187
369,109.46999992132187
370,109.7399999499321
371,109.37999997138978
372,109.58999994993209
373,109.73999987840652
374,109.44000002145766
375,109.23000000715254
376,109.70999990701677
377,107.8599999308586
378,109.31999999284743
379,109.17000006437301
380,109.22999997138974
381,109.22999997138977
382,109.55999997854232
383,109.40999994277952
384,109.26000005006789
385,109.31999992132187
386,109.16999995708467
387,109.46999992132183
388,109.88999987840653
389,109.23000000715255
390,109.4999999284744
391,109.88999984264375
392,109.52999993562696
393,109.73999994993211
394,109.43999998569488
395,108.99000002145766
396,109.32000002861021
397,109.49999985694882
398,109.46999992132187
399,109.19999992847441
400,109.73999987840654
401,109.46999995708464
402,109.20000000000002
403,109.41000001430511
404,109.379999935627
405,109.37999997138976
406,109.37999997138976
407,109.49999992847441
408,109.679999935627
409,109.34999999999998
410,109.94999985694886
411,109.40999994277954
412,109.26000005006787
413,109.40999994277955
414,109.43999998569485
415,109.70999983549117
416,109.49999989271164
417,109.49999999999999
418,109.43999987840652
419,109.16999999284745
420,109.29000005722045
421,109.23000004291534
422,109.58999998569487
423,109.40999997854232
424,109.37999993562698
425,109.2600000143051
426,109.2899999141693
427,109.05000003576276
428,109.44000002145766
429,109.52999993562698
430,109.61999992132185
431,109.82999993562696
432,109.85999990701674
433,109.46999995708465
434,109.4399999499321
435,109.55999994277956
436,109.16999995708466
437,109.58999998569487
438,109.4399999141693
439,109.4100000143051
440,109.29000002145767
441,109.40999990701674
442,109.64999999999998
443,109.43999998569488
444,109.2899999499321
445,109.49999996423719
446,109.4100000143051
447,109.19999999999999
448,109.49999992847442
449,109.52999993562699
450,109.43999987840651
451,109.2899999856949
452,109.55999994277953
453,109.4999999284744
454,109.58999998569489
455,109.28999994993212
456,109.70999987125397
457,109.49999996423723
458,109.70999994277953
459,109.4099999427795
460,109.28999998569488
461,109.31999995708462
462,109.49999999999999
463,109.55999997854232
464,109.35000007152556
465,109.37999989986419
466,109.2899999499321
467,109.55999997854232
468,109.64999996423724
469,109.40999994277954
470,109.34999992847442
471,109.25999994277954
472,109.4399999856949
473,109.37999997138974
474,109.22999993562699
475,109.79999996423722
476,109.79999996423722
477,109.73999987840651
478,109.5
479,109.4999999284744
480,109.70999994277952
481,109.64999989271162
482,109.41000001430511
483,109.46999995708462
484,109.55999990701676
485,109.7399999141693
486,109.44000002145764
487,109.08000000715258
488,109.58999994993209
489,109.58999994993209
490,109.23000000715257
491,109.61999992132186
492,109.38000004291533
493,109.38000000715256
494,109.38000000715256
495,108.99000005722048
496,109.41000001430511
497,109.25999994277953
498,109.52999993562699
499,109.94999992847441
500,109.41000001430508
501,109.46999999284746
502,109.73999994993208
503,109.37999997138976
504,109.29000002145767
505,109.85999990701673
506,109.46999995708465
507,109.29000002145767
508,109.38000004291533
509,109.2899999856949
510,109.34999996423721
511,109.11000001430513
512,109.16999992132187
513,109.46999995708464
514,109.46999992132187
515,109.3200001001358
516,109.49999996423722
517,109.6499999284744
518,109.55999997854231
519,109.3799999713898
520,109.49999996423719
521,109.49999992847442
522,109.53000004291533
523,109.44000002145766
524,109.49999992847442
525,109.34999996423721
526,109.23000000715255
527,107.74999990463253
528,109.46999999284745
529,109.4100000143051
530,109.40999994277952
531,109.61999995708464
532,109.47000002861023
533,109.49999996423722
534,109.34999989271162
535,109.58999994993209
536,109.23000000715257
537,109.52999997138977
538,109.37999993562697
539,109.34999992847442
540,109.55999994277951
541,109.58999994993208
542,109.49999996423719
543,109.58999994993205
544,109.49999992847442
545,109.41000008583067
546,109.38000000715256
547,109.73999987840655
548,109.43999998569488
549,109.7100000143051
550,109.34999999999995
551,109.70999994277953
552,109.58999994993208
553,109.49999992847444
554,109.46999995708465
555,109.40999994277954
556,109.4099999785423
557,109.37999997138975
558,109.2600000143051
559,109.50000003576277
560,109.65000003576279
561,109.28999998569486
562,109.58999991416931
563,109.76999995708465
564,109.64999992847441
565,109.49999992847444
566,109.52999989986418
567,109.49999989271163
568,109.32000002861022
569,109.17000002861022
570,109.46999995708462
571,109.40999994277952
572,109.37999997138976
573,109.64999996423721
574,109.26000001430508
575,109.32000002861022
576,109.31999999284741
577,109.55999994277954
578,109.4100000500679
579,109.58999994993209
580,109.94999989271165
581,109.37999997138976
582,109.53000000715254
583,109.43999998569487
584,109.40999994277954
585,109.31999999284746
586,109.37999993562698
587,109.40999987125396
588,109.38000007867814
589,109.14000002145767
590,109.70999994277955
591,109.55999997854231
592,109.28999998569488
593,109.59000002145766
594,109.43999994993212
595,109.52999997138976
596,109.70999997854233
597,109.70999994277953
598,109.19999999999999
599,109.26000001430512
600,109.85999987125396
601,109.49999992847441
602,109.19999996423721
603,109.56000005006787
604,109.35000003576278
605,109.22999993562698
606,109.61999992132186
607,109.70999994277953
608,109.43999994993209
609,109.73999987840651
610,109.49999992847442
611,109.43999994993212
612,109.55999994277953
613,109.55999994277954
614,109.23000000715255
615,109.2600000143051
616,109.34999992847445
617,109.26000005006792
618,109.31999999284743
619,109.2899999856949
620,109.70999990701674
621,109.38000004291533
622,109.43999998569488
623,109.73999991416927
624,109.49999992847444
625,109.61999995708464
626,109.49999999999999
627,109.20000003576276
628,109.16999995708464
629,109.40999997854232
630,109.55999997854234
631,109.55999990701673
632,109.28999998569488
633,109.38000004291534
634,109.40999994277954
635,109.23000004291534
636,109.38000007867812
637,109.67999993562698
638,109.58999998569485
639,109.6499999642372
640,109.76999995708464
641,109.49999999999997
642,109.4399999856949
643,109.61999992132185
644,109.20000007152557
645,109.64999992847443
646,108.10999991297722
647,109.29000002145764
648,109.91999988555908
649,109.91999988555906
650,109.379999935627
651,109.82999989986418
652,109.43999994993209
653,109.31999999284744
654,109.37999997138975
655,109.58999991416931
656,109.49999992847442
657,109.4399999141693
658,109.32000002861022
659,109.49999992847444
660,109.44000002145766
661,109.41000001430508
662,109.49999999999996
663,109.46999992132186
664,109.73999994993211
665,109.55999990701676
666,109.37999997138974
667,109.35
668,109.70999994277953
669,109.55999997854231
670,109.32000002861022
671,109.28999994993211
672,109.29000002145767
673,109.55999994277951
674,109.82999989986419
675,109.2899999499321
676,109.31999992132187
677,109.5899999499321
678,109.16999999284742
679,109.7399998784065
680,109.64999992847443
681,109.31999995708465
682,109.49999992847442
683,109.31999995708463
684,109.41000001430508
685,109.55999997854232
686,109.58999998569485
687,109.67999993562697
688,109.41000001430511
689,109.32000006437299
690,109.46999995708465
691,109.2600000143051
692,109.73999991416932
693,109.43999998569488
694,109.34999996423718
695,109.01999999284746
696,109.61999995708463
697,109.11000005006788
698,109.34999992847442
699,109.70999983549117
700,109.37999997138976
701,109.55999990701672
702,109.29000002145767
703,109.55999997854231
704,109.23000000715254
705,109.34999992847442
706,109.38000004291533
707,109.49999999999996
708,109.49999999999999
709,109.23000004291534
710,109.73999987840652
711,109.46999999284745
712,109.46999999284745
713,109.5899998426437
714,109.67999989986419
715,109.41000001430514
716,109.6499999642372
717,109.46999999284742
718,109.52999993562699
719,109.67999993562695
720,109.79999985694883
721,109.79999992847442
722,109.38000000715253
723,109.46999995708465
724,109.43999991416933
725,109.31999995708463
726,109.11000001430511
727,109.29000002145767
728,109.44000002145768
729,109.4399999856949
730,109.40999997854232
731,109.47000002861024
732,109.46999992132187
733,109.08000000715255
734,109.22999997138977
735,109.46999992132184
736,109.70999990701674
737,109.79999992847442
738,109.4099999785423
739,109.49999992847442
740,109.61999995708463
741,109.49999996423719
742,109.1100000143051
743,109.19999992847444
744,109.28999994993208
745,109.55999994277954
746,109.55999994277956
747,109.52999997138974
748,109.17000006437301
749,109.14000002145764
750,108.96000008583069
751,109.52999997138977
752,109.49999992847441
753,107.61000000238414
754,109.61999992132186
755,109.6499999642372
756,109.70999994277953
757,109.43999998569488
758,109.41000001430511
759,109.31999995708463
760,109.3799999713898
761,109.37999997138975
762,109.49999999999999
763,109.55999990701675
764,109.58999991416931
765,109.40999997854232
766,109.3499998927116
767,109.55999997854231
768,109.64999985694885
769,109.82999993562697
770,109.5299998998642
771,109.49999992847444
772,109.64999985694884
773,109.25999997854233
774,109.40999994277954
775,109.49999992847442
776,109.35
777,109.31999995708468
778,109.58999991416928
779,107.84999997615812
780,109.58999998569487
781,109.8899999141693
782,109.53000000715251
783,109.7699999213219
784,109.43999994993212
785,109.5899999141693
786,109.23000000715255
787,109.16999995708466
788,109.31999995708463
789,109.67999989986419
790,109.5600000143051
791,109.16999999284745
792,109.3200000286102
793,109.43999998569487
794,109.41000001430508
795,109.70999994277953
796,109.64999996423721
797,109.58999998569486
798,109.94999989271163
799,109.46999992132187
800,109.4699999928474
801,109.6200000286102
802,109.62000002861022
803,109.37999997138976
804,109.34999996423723
805,109.5
806,109.46999992132186
807,108.93000000715256
808,109.46999995708465
809,109.37999993562701
810,109.52999993562699
811,109.46999999284745
812,109.31999992132187
813,109.4099999785423
814,109.44000002145764
815,109.37999993562697
816,109.40999997854232
817,109.31999992132185
818,109.52999997138974
819,109.44000002145766
820,107.94999995231629
821,109.32000002861022
822,109.52999997138976
823,109.49999996423722
824,109.58999998569487
825,109.4399999499321
826,109.4399999141693
827,109.28999998569486
828,109.34999996423721
829,103.84999996423718
830,109.58999998569487
831,109.58999998569487
832,109.64999996423721
833,109.44000002145764
834,109.67999997138975
835,109.4999999642372
836,109.43999991416928
837,109.61999992132186
838,109.67999993562697
839,109.4100000143051
840,109.31999992132187
841,109.31999995708463
842,109.46999999284745
843,109.43999994993207
844,109.52999993562699
845,109.37999993562698
846,109.5899999856949
847,109.1399999856949
848,109.26000001430512
849,109.58999998569489
850,109.49999992847441
851,109.7099999785423
852,109.76999995708465
853,107.7899999260902
854,109.61999992132183
855,109.05000003576279
856,109.44000002145765
857,109.64999992847441
858,109.4999999284744
859,109.61999988555908
860,109.3200000286102
861,109.85999987125396
862,109.53000000715254
863,109.67999997138975
864,109.2600000143051
865,109.55999994277954
866,109.67999997138976
867,109.64999992847441
868,109.55999994277954
869,109.17000002861022
870,109.2899999499321
871,109.4399999141693
872,109.2600000143051
873,109.38000000715252
874,109.3499999642372
875,109.46999992132187
876,109.3499999284744
877,109.4999999642372
878,109.17000002861022
879,109.55999990701676
880,109.4100000500679
881,109.40999990701674
882,109.61999995708464
883,109.73999987840652
884,109.49999996423722
885,109.7399999499321
886,109.40999997854233
887,109.19999992847443
888,109.28999994993208
889,109.4399999499321
890,109.52999993562695
891,109.88999991416931
892,109.6499999284744
893,109.16999999284744
894,109.67999997138973
895,109.49999996423722
896,109.17000002861023
897,109.61999992132186
898,109.5599999070167
899,109.55999990701675
900,109.3199999928474
901,109.34999992847443
902,109.40999997854232
903,109.10999997854233
904,109.70999997854233
905,109.58999994993205
906,109.55999990701676
907,109.49999996423722
908,109.49999999999999
909,109.46999995708464
910,109.37999993562697
911,109.6799998998642
