episode,reward
1,23.578249293565747
2,61.54282649159431
3,51.16470302343368
4,61.80639600753784
5,72.4761245727539
6,72.7746579170227
7,72.8037270784378
8,72.69719848632813
9,72.57205851078034
10,72.74088761806487
11,72.8512449026108
12,72.58122580051422
13,71.04136610031128
14,72.99117801189422
15,71.068488407135
16,65.5957237482071
17,56.97843861579896
18,73.05499124526978
19,72.32820613384249
20,72.846040558815
21,72.68290872573853
22,72.3715128183365
23,72.37611138820648
24,72.46836328506471
25,72.44968585968017
26,71.134537088871
27,72.97330977916718
28,73.0751648902893
29,72.64840078353883
30,72.44461619853973
31,72.53015794754029
32,73.05769710540771
33,72.69040274620056
34,72.7940968990326
35,72.56662673950194
36,72.51510763168335
37,72.80922882556915
38,72.13528161048889
39,72.7658306837082
40,72.48430254459382
41,72.50797066688537
42,72.94264521598816
43,72.59780495166778
44,72.51010520458222
45,72.46704413890839
46,72.78029379844665
47,67.05009136199953
48,70.70603346824646
49,70.77207176685333
50,69.0150643348694
51,68.91404576301574
52,65.21027945280078
53,70.64566447734835
54,69.17178550958634
55,72.38040711879731
56,73.0735354423523
57,70.70051355361939
58,69.04936056137086
59,72.71116118431091
60,72.61426358222963
61,72.3383483171463
62,72.84875073432923
63,70.65206851959229
64,72.76377263069153
65,72.607524061203
66,73.16704249382018
67,72.62500519752503
68,72.5608864545822
69,73.15470092296601
70,72.24180872440338
71,72.90480122566223
72,72.45234973430632
73,72.67321987152098
74,72.54640319347381
75,72.6893090248108
76,72.5141209602356
77,72.8066295862198
78,68.88538649082183
79,72.63911423683167
80,72.67311553955078
81,72.58896355628968
82,72.69857013225554
83,72.56475763320924
84,72.46050512790681
85,72.9254157781601
86,72.24999520778657
87,72.35634455680848
88,72.6611403465271
89,72.4763735294342
90,72.46803333759307
91,72.71548285484316
92,72.71715199947357
93,72.76490941047668
94,72.31930766105651
95,72.75981030464175
96,72.83059687614443
97,72.79604172706604
98,72.70909161567688
99,72.7148458957672
100,72.95585792064666
101,72.31296725273133
102,72.43709418773652
103,72.69355983734131
104,72.81588966846466
105,73.05120055675506
106,72.44719526767732
107,72.9604904651642
108,72.31210467815399
109,72.28965497016908
110,72.42303097248076
111,72.35923032760621
112,72.37533485889433
113,72.6484587907791
114,72.30317449569702
115,72.90171706676483
116,72.4911132335663
117,70.81131875514984
118,72.59593977928161
119,72.94253346920014
120,72.49322280883788
121,65.31125602722167
122,61.63680653572084
123,69.3155106663704
124,70.54988172054293
125,71.00172989964486
126,72.38429584503174
127,72.67201106548309
128,72.43188018798828
129,72.56944246292116
130,72.68893127441406
131,72.48799903392792
132,72.4345340490341
133,72.70422251224518
134,72.47787463665009
135,72.58505237102509
136,72.46391077041628
137,72.31605234146119
138,72.58637614250183
139,72.47782566547393
140,72.56646077632902
141,72.28064856529235
142,72.68632664680483
143,72.92570919990541
144,72.50643377304077
145,72.5309147834778
146,72.99543190002443
147,72.67379522323608
148,72.99522395133974
149,72.37658329010009
150,72.32602107524873
151,72.67088570594787
152,72.72575433254245
153,72.21564378738404
154,72.58735003471374
155,72.82097904682158
156,72.629158949852
157,72.6838420152664
158,72.40442762374877
159,72.57277579307556
160,72.47505156993866
161,72.56934704780579
162,72.55109097957612
163,72.64598498344421
164,72.88935005664825
165,72.57843070030212
166,72.49350481033325
167,72.73336338996887
168,72.6415982723236
169,72.77526493072509
170,73.17892730236053
171,72.72861046791077
172,72.57652399539948
173,72.76801319122315
174,47.694544100761405
175,11.591113388538364
176,-2.0000000000000004
177,2.066930323839187
178,27.15427677035332
179,23.007907232642168
180,32.3637194275856
181,58.4225034236908
182,50.694111943244934
183,63.8642852306366
184,54.345645940303804
185,62.255134224891655
186,59.955184030532834
187,72.9545850634575
188,71.56956527233125
189,70.71808830499648
190,61.568268394470216
191,65.79224033355713
192,69.04518995285034
193,72.75928826332093
194,72.95608432292939
195,73.05264294147491
196,67.33029708862306
197,72.31014578342439
198,72.70202918052672
199,72.69999096393585
200,72.54315071105958
