episode,reward
1,49.64806271195411
2,38.23941799402236
3,35.24194387197494
4,46.157453304529184
5,49.94577349424362
6,34.90933010578156
7,45.947411620616904
8,39.18858030438423
9,35.31758551001549
10,33.767090785503385
11,35.11043711304664
12,40.51401215791702
13,33.57575850486755
14,42.78324322700501
15,50.06293396949767
16,32.627626043558124
17,25.16243263483047
18,46.45357122421264
19,40.874078577756876
20,29.635573554038995
21,48.277556294202796
22,44.55405264496803
23,50.37975957989692
24,46.86931177377701
25,40.443571382761
26,35.16072304844855
27,38.983360075950614
28,29.383746248483646
29,35.04703230857849
30,38.95365677475929
31,44.61788319349289
32,31.334416329860687
33,41.252617025375365
34,36.91052879691124
35,28.737615692615506
36,51.60278279781341
37,37.26866956353188
38,46.6166573047638
39,40.437408888339995
40,42.694290208816525
41,39.24396711587906
42,38.67579563260078
43,48.04078601002693
44,46.16640015244484
45,40.694255536794664
46,47.67992115020752
47,40.07310311198234
48,40.87237547039985
49,26.86824176907539
50,50.46553651094437
